Name,Market,Total Funding (USD),Status,Country Code,City,Funding Rounds,Founded At,Founded Quarter,First Funding At,Last Funding At,Seed,Venture,Angel,Grant,Total Funding (M USD),Startup Age,Funding Duration Days,Funding Velocity,Rounds per Year,Market Group,Total Debt (USD),Total Equity (USD),Total Funding (USD) (M),Total Debt (USD) (M),Total Equity (USD) (M)
(In)Touch Network, Electronics ,1500000.0,operating,GBR,London,1.0,2011-04-01,2011-Q2,2011-04-01,2011-04-01,1500000.0,0.0,0.0,0.0,1.5,13,0,0.0,0.07142857142857142,Hardware & Electronics,0.0,0.0,1.5,0.0,0.0
004 Technologies, Software ,2000000.0,operating,USA,Champaign,1.0,2010-01-01,2010-Q1,2014-07-24,2014-07-24,0.0,0.0,0.0,0.0,2.0,14,0,0.0,0.06666666666666667,Software & IT,0.0,0.0,2.0,0.0,0.0
100health, Health Care Information Technology ,420000.0,operating,USA,Madison,1.0,2014-07-04,2014-Q3,2014-11-26,2014-11-26,420000.0,0.0,0.0,0.0,0.42,10,0,0.0,0.09090909090909091,Health & Biotech,0.0,0.0,0.42,0.0,0.0
1010data, Software ,35000000.0,operating,USA,New York,1.0,2000-01-01,2000-Q1,2010-03-08,2010-03-08,0.0,35000000.0,0.0,0.0,35.0,24,0,0.0,0.04,Software & IT,0.0,0.0,35.0,0.0,0.0
10X Technologies, Biotechnology ,3000000.0,operating,USA,Oakland,1.0,2012-01-01,2012-Q1,2012-11-07,2012-11-07,0.0,0.0,0.0,0.0,3.0,12,0,0.0,0.07692307692307693,Health & Biotech,3000000.0,0.0,3.0,3.0,0.0
10X10 Room, Software ,77500.0,operating,USA,Lexington,1.0,2010-01-01,2010-Q1,2011-10-12,2011-10-12,0.0,0.0,0.0,0.0,0.08,14,0,0.0,0.06666666666666667,Software & IT,77500.0,0.0,0.08,0.08,0.0
1248, Software ,378812.0,operating,GBR,Cambridge,1.0,2013-01-01,2013-Q1,2014-03-18,2014-03-18,378812.0,0.0,0.0,0.0,0.38,11,0,0.0,0.08333333333333333,Software & IT,0.0,0.0,0.38,0.0,0.0
12Return, Software ,619494.0,operating,NLD,Gorinchem,1.0,2010-12-10,2010-Q4,2012-06-01,2012-06-01,0.0,0.0,619494.0,0.0,0.62,14,0,0.0,0.06666666666666667,Software & IT,0.0,0.0,0.62,0.0,0.0
15Five, Software ,3400000.0,operating,USA,San Francisco,3.0,2011-05-01,2011-Q2,2012-01-01,2014-10-02,2200000.0,0.0,1200000.0,0.0,3.4,13,1005,3383.0845771144277,0.21428571428571427,Software & IT,0.0,0.0,3.4,0.0,0.0
16 Mile Solutions, Software ,199957.0,operating,USA,Seattle,1.0,2006-01-01,2006-Q1,2009-06-11,2009-06-11,0.0,199957.0,0.0,0.0,0.2,18,0,0.0,0.05263157894736842,Software & IT,0.0,0.0,0.2,0.0,0.0
170 Systems, Software ,14000000.0,acquired,USA,Bedford,1.0,1990-01-01,1990-Q1,2002-04-16,2002-04-16,0.0,14000000.0,0.0,0.0,14.0,34,0,0.0,0.02857142857142857,Software & IT,0.0,0.0,14.0,0.0,0.0
1Energy Systems, Software ,1450000.0,operating,USA,Seattle,1.0,2010-01-01,2010-Q1,2013-04-22,2013-04-22,0.0,1450000.0,0.0,0.0,1.45,14,0,0.0,0.06666666666666667,Software & IT,0.0,0.0,1.45,0.0,0.0
1Lay, Mobile Security ,170000.0,operating,,,1.0,2013-07-18,2013-Q3,2014-05-30,2014-05-30,170000.0,0.0,0.0,0.0,0.17,11,0,0.0,0.08333333333333333,Other,0.0,0.0,0.17,0.0,0.0
1World Online, Enterprise Software ,1500000.0,operating,USA,San Jose,2.0,2011-12-01,2011-Q4,2013-07-02,2013-12-01,0.0,1500000.0,0.0,0.0,1.5,13,152,9868.421052631578,0.14285714285714285,Software & IT,0.0,0.0,1.5,0.0,0.0
20/20 Gene Systems Inc., Biotechnology ,150000.0,operating,USA,Rockville,1.0,2000-05-01,2000-Q2,2012-09-25,2012-09-25,0.0,150000.0,0.0,0.0,0.15,24,0,0.0,0.04,Health & Biotech,0.0,0.0,0.15,0.0,0.0
2.10E+07, Big Data ,5050000.0,operating,USA,San Francisco,1.0,2013-01-01,2013-Q1,2013-11-17,2013-11-17,0.0,5050000.0,0.0,0.0,5.05,11,0,0.0,0.08333333333333333,Software & IT,0.0,0.0,5.05,0.0,0.0
21viaNet, Software ,100000000.0,operating,CHN,Beijing,2.0,2009-10-16,2009-Q4,2012-12-01,2013-10-01,0.0,0.0,0.0,0.0,100.0,15,304,328947.36842105264,0.125,Software & IT,0.0,0.0,100.0,0.0,0.0
22nd Century Group, Biotechnology ,15034750.0,operating,USA,Clarence,6.0,1998-01-01,1998-Q1,2010-12-28,2014-09-18,0.0,12528500.0,0.0,0.0,15.03,26,1360,11054.963235294117,0.2222222222222222,Health & Biotech,2506250.0,0.0,15.03,2.51,0.0
22seeds, Software ,250000.0,operating,ISR,Tel Aviv,1.0,2010-01-01,2010-Q1,2013-10-15,2013-10-15,250000.0,0.0,0.0,0.0,0.25,14,0,0.0,0.06666666666666667,Software & IT,0.0,0.0,0.25,0.0,0.0
2345.com, Software ,1610541.0,operating,CHN,Shanghai,2.0,2005-09-01,2005-Q3,2010-05-01,2010-10-01,0.0,0.0,0.0,0.0,1.61,19,153,10526.411764705883,0.1,Software & IT,0.0,0.0,1.61,0.0,0.0
23andMe, Biotechnology ,111949900.0,operating,USA,Mountain View,6.0,2006-04-01,2006-Q2,2007-05-01,2014-07-29,0.0,110549900.0,0.0,1400000.0,111.95,18,2646,42309.10808767952,0.3157894736842105,Health & Biotech,0.0,0.0,111.95,0.0,0.0
24M Technologies, Clean Technology ,16000000.0,operating,USA,Cambridge,1.0,2010-01-01,2010-Q1,2010-08-16,2010-08-16,0.0,16000000.0,0.0,0.0,16.0,14,0,0.0,0.06666666666666667,High Tech,0.0,0.0,16.0,0.0,0.0
