Name,Market,Total Funding (USD),Status,Country Code,City,Funding Rounds,Founded At,Founded Quarter,First Funding At,Last Funding At,Seed,Venture,Angel,Grant,Round A,Round B,Round C,Round D,Round E,Startup Age,Funding Duration Days,Funding Velocity,Rounds per Year,Continent,Market Group,Total Debt (USD),Total Equity (USD)
(In)Touch Network, Electronics ,1500000.0,operating,GBR,London,1.0,2011-04-01,2011-Q2,2011-04-01,2011-04-01,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,inf,0.06666666666666667,Europe,Hardware & Electronics,0.0,0.0
.Club Domains, Software ,7000000.0,,USA,Oakland Park,1.0,2011-10-10,2011-Q4,2013-05-31,2013-05-31,0.0,7000000.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,14,0,inf,0.06666666666666667,North America,Software & IT,0.0,0.0
004 Technologies, Software ,2000000.0,operating,USA,Champaign,1.0,2010-01-01,2010-Q1,2014-07-24,2014-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,inf,0.0625,North America,Software & IT,0.0,0.0
100health, Health Care Information Technology ,420000.0,operating,USA,Madison,1.0,2014-07-04,2014-Q3,2014-11-26,2014-11-26,420000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,inf,0.08333333333333333,North America,Health & Biotech,0.0,0.0
1010data, Software ,35000000.0,operating,USA,New York,1.0,2000-01-01,2000-Q1,2010-03-08,2010-03-08,0.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,inf,0.038461538461538464,North America,Software & IT,0.0,0.0
10X Technologies, Biotechnology ,3000000.0,operating,USA,Oakland,1.0,2012-01-01,2012-Q1,2012-11-07,2012-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,inf,0.07142857142857142,North America,Health & Biotech,3000000.0,0.0
10X10 Room, Software ,77500.0,operating,USA,Lexington,1.0,2010-01-01,2010-Q1,2011-10-12,2011-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,inf,0.0625,North America,Software & IT,77500.0,0.0
1248, Software ,378812.0,operating,GBR,Cambridge,1.0,2013-01-01,2013-Q1,2014-03-18,2014-03-18,378812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,Europe,Software & IT,0.0,0.0
12Return, Software ,619494.0,operating,NLD,Gorinchem,1.0,2010-12-10,2010-Q4,2012-06-01,2012-06-01,0.0,0.0,619494.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,inf,0.0625,Europe,Software & IT,0.0,0.0
15Five, Software ,3400000.0,operating,USA,San Francisco,3.0,2011-05-01,2011-Q2,2012-01-01,2014-10-02,2200000.0,0.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1005,3383.0845771144277,0.2,North America,Software & IT,0.0,0.0
16 Mile Solutions, Software ,199957.0,operating,USA,Seattle,1.0,2006-01-01,2006-Q1,2009-06-11,2009-06-11,0.0,199957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,inf,0.05,North America,Software & IT,0.0,0.0
170 Systems, Software ,14000000.0,acquired,USA,Bedford,1.0,1990-01-01,1990-Q1,2002-04-16,2002-04-16,0.0,14000000.0,0.0,0.0,14000000.0,0.0,0.0,0.0,0.0,35,0,inf,0.027777777777777776,North America,Software & IT,0.0,0.0
1C Company, Software ,200000000.0,,RUS,Moscow,1.0,1991-01-01,1991-Q1,2011-10-03,2011-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,inf,0.02857142857142857,Europe,Software & IT,0.0,200000000.0
1Energy Systems, Software ,1450000.0,operating,USA,Seattle,1.0,2010-01-01,2010-Q1,2013-04-22,2013-04-22,0.0,1450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,inf,0.0625,North America,Software & IT,0.0,0.0
1Lay, Mobile Security ,170000.0,operating,,,1.0,2013-07-18,2013-Q3,2014-05-30,2014-05-30,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,inf,0.07692307692307693,Other,Other,0.0,0.0
1World Online, Enterprise Software ,1500000.0,operating,USA,San Jose,2.0,2011-12-01,2011-Q4,2013-07-02,2013-12-01,0.0,1500000.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,14,152,9868.421052631578,0.13333333333333333,North America,Software & IT,0.0,0.0
